COD_CLIENTE,NATURA_GIURIDICA,PV,CODICE_ISTAT,FIDO_PAYLINE,DECISIONE,VALUTAZIONE_TEMPI_PAG,GG_PATTUITI,GG_RITARDO,FATTURATO,FATTURATO_MESE,CLASSE_RISCHIO,CLASSE_RISCHIO_DESCR
1,S.r.l.,PR,2562/07,40200.0,Accordabile,Regolari,21.0,0.0,"4310,3","702,83",4,Affidabile
2,S.n.c.,PR,561011/07,0.0,Non accordabile,Prevalentemente regolari,23.0,27.0,"8035,31","971,39",2,Cautela
3,S.r.l.,PR,33125/07,0.0,Non accordabile,Regolari,23.0,35.0,"79858,63","12962,18",2,Cautela
4,S.a.s.,PR,791/07,0.0,Non accordabile,,25.0,2329.0,"1477,01",0,6,Non operativa
5,Coop.,PR,8891/07,2500.0,Accordabile,Regolari,-1.0,-1.0,"613,62",0,4,Affidabile
6,Indiv.,PR,,6000.0,Accordabile,Regolari,24.0,0.0,"5360,31","158,89",4,Affidabile
7,Indiv.,PR,10711/07,9600.0,Accordabile,Regolari,22.0,0.0,"15440,99","1702,33",4,Affidabile
8,,PR,,6000.0,Accordabile,Regolari,21.0,-3.0,"499,55","46,74",4,Affidabile
9,Indiv.,PR,6831/07,3000.0,Accordabile,Regolari,21.0,-1.0,"547,39",0,4,Affidabile
10,Coop.,PR,561011/07,5001.0,Accordabile,Regolari,23.0,-16.0,"37356,41","5852,43",4,Affidabile
11,Indiv.,PR,015/07,4980.0,Accordabile,Regolari,22.0,0.0,"8256,12","794,84",4,Affidabile
12,S.r.l.u.s.,PR,4313/07,1500.0,Accordabile,Dilazionati,21.0,63.0,"192,77",0,4,Affidabile
13,S.a.s.,PR,,,,,,,,,6,Non operativa
14,S.a.s.,PR,561011/07,1987.0,Accordabile,Prevalentemente regolari,24.0,51.0,"3157,59","303,83",4,Affidabile
15,,PR,,6000.0,Accordabile,Regolari,22.0,0.0,"11398,15","2801,88",4,Affidabile
16,,PR,,6000.0,Accordabile,Regolari,22.0,0.0,"1645,05","112,24",4,Affidabile
17,Semplice,PR,015/07,8000.0,Accordabile,Regolari,22.0,0.0,"15489,85","363,13",4,Affidabile
18,S.r.l.,PC,293209/07,0.0,Non accordabile,Regolari,22.0,0.0,"7765,26","959,92",6,Non operativa
19,S.r.l.,PC,803/07,3000.0,Accordabile,Regolari,22.0,0.0,"3297,72","227,85",4,Affidabile
20,S.p.A.,PC,1039/07,487008.0,Accordabile,Regolari,61.0,-1.0,"146161,55","25296,96",4,Affidabile
21,S.a.s.,CR,47761/07,36600.0,Accordabile,Regolari,21.0,0.0,"2318,35","509,69",4,Affidabile
22,,PR,,,No negativita,Regolari,23.0,-1.0,"5880,87","698,57",3,No negativita'
23,Indiv.,PC,,0.0,Non accordabile,,21.0,2326.0,"4655,99",0,6,Non operativa
24,Indiv.,PC,47511/07,12300.0,Accordabile,Regolari,21.0,0.0,"886,58","189,01",4,Affidabile
25,Indiv.,PC,563/07,0.0,Non accordabile,,21.0,2298.0,"3802,66",0,6,Non operativa
26,S.p.A.,PC,46321/07,15000.0,Accordabile,Regolari,21.0,-18.0,"5996,37","440,73",4,Affidabile
27,Indiv.,PC,74202/07,0.0,Non accordabile,Regolari,24.0,0.0,"2401,12","57,78",6,Non operativa
28,S.r.l.,PC,1032/07,0.0,Non accordabile,,21.0,1801.0,"3435,03",0,6,Non operativa
29,S.r.l.,PC,1039/07,0.0,Non accordabile,,21.0,1768.0,"1557,23",0,6,Non operativa
30,S.n.c.,PC,10711/07,52800.0,Accordabile,Regolari,22.0,0.0,"30530,35","3607,82",4,Affidabile
31,,PC,,,No negativita,Prevalentemente regolari,427.0,17.0,"22306,62","1179,68",3,No negativita'
32,Altro,,4761/07,14400.0,Accordabile,Regolari,23.0,0.0,"3469,86","248,19",4,Affidabile
33,Indiv.,PC,563/07,3240.0,Accordabile,Regolari,22.0,0.0,"4008,78","406,64",4,Affidabile
34,S.p.A.,PR,1039/07,335000.0,Accordabile,Regolari,33.0,0.0,"2126370,8","149625,39",4,Affidabile
35,Indiv.,PR,412/07,0.0,Non accordabile,Dilazionati,23.0,623.0,"2687,14","145,16",6,Non operativa
36,Indiv.,PR,563/07,6600.0,Accordabile,Regolari,22.0,8.0,"6001,02","954,69",4,Affidabile
37,Indiv.,PR,4651/07,18900.0,Accordabile,Regolari,23.0,0.0,"2380,88","204,12",4,Affidabile
38,S.n.c.,PR,662202/07,3219.0,Accordabile,Regolari,23.0,0.0,"5373,86","741,64",4,Affidabile
39,,PR,,2500.0,Accordabile,Regolari,0.0,129.0,"11574,9",0,4,Affidabile
40,S.a.s.,PC,563/07,13250.0,Accordabile,Regolari,21.0,2.0,"444,87","91,67",4,Affidabile
41,S.r.l.,PC,46741/07,207500.0,Accordabile,Regolari,22.0,0.0,"30037,41","4061,14",4,Affidabile
